timestamp,model,graph,features,graph_features,runs,target,mae_mean,mae_std,mae_stderr,r2_mean,r2_std,smape_mean,smape_std,status,error
2026-01-13T19:14:25.722247,xgboost,us26,basic,yes,20,avgActiveTransceivers,3.571,0.535,0.12,0.517,0.165,0.018,0.003,success,
2026-01-13T19:14:52.811974,xgboost,us26,basic,no,20,highestSlot,21.785,3.42,0.765,-0.358,0.32,0.147,0.023,success,
2026-01-13T19:14:52.812048,xgboost,us26,basic,no,20,avgHighestSlot,6.464,1.111,0.249,-0.239,0.273,0.098,0.016,success,
2026-01-13T19:14:52.812083,xgboost,us26,basic,no,20,sumOfSlots,166.191,26.86,6.006,-0.021,0.227,0.053,0.008,success,
2026-01-13T19:14:52.812115,xgboost,us26,basic,no,20,avgActiveTransceivers,3.482,0.556,0.124,0.529,0.18,0.017,0.003,success,
2026-01-13T19:15:23.353251,xgboost,us26,topology,yes,20,highestSlot,19.944,2.696,0.603,-0.075,0.355,0.135,0.018,success,
2026-01-13T19:15:23.353326,xgboost,us26,topology,yes,20,avgHighestSlot,4.397,0.579,0.13,0.487,0.096,0.066,0.008,success,
2026-01-13T19:15:23.353361,xgboost,us26,topology,yes,20,sumOfSlots,100.405,14.769,3.302,0.595,0.184,0.032,0.005,success,
2026-01-13T19:15:23.353393,xgboost,us26,topology,yes,20,avgActiveTransceivers,5.488,0.744,0.166,-0.23,0.201,0.027,0.004,success,
2026-01-13T19:15:41.249531,xgboost,us26,topology,no,20,highestSlot,22.978,3.369,0.753,-0.413,0.421,0.156,0.023,success,
2026-01-13T19:15:41.249605,xgboost,us26,topology,no,20,avgHighestSlot,6.104,1.116,0.25,-0.175,0.312,0.091,0.016,success,
2026-01-13T19:15:41.249645,xgboost,us26,topology,no,20,sumOfSlots,163.563,16.476,3.684,-0.011,0.201,0.052,0.005,success,
2026-01-13T19:15:41.249682,xgboost,us26,topology,no,20,avgActiveTransceivers,6.319,0.645,0.144,-0.51,0.294,0.031,0.003,success,
2026-01-13T19:16:14.313672,xgboost,us26,distribution,yes,20,highestSlot,19.61,2.158,0.483,-0.114,0.325,0.133,0.014,success,
2026-01-13T19:16:14.313764,xgboost,us26,distribution,yes,20,avgHighestSlot,4.429,0.693,0.155,0.505,0.086,0.067,0.01,success,
2026-01-13T19:16:14.313811,xgboost,us26,distribution,yes,20,sumOfSlots,66.741,12.527,2.801,0.84,0.055,0.021,0.004,success,
2026-01-13T19:16:14.313856,xgboost,us26,distribution,yes,20,avgActiveTransceivers,3.162,0.447,0.1,0.624,0.157,0.016,0.002,success,
2026-01-13T19:16:29.984263,xgboost,us26,distribution,no,20,highestSlot,23.293,3.811,0.852,-0.608,0.622,0.157,0.025,success,
2026-01-13T19:16:29.984336,xgboost,us26,distribution,no,20,avgHighestSlot,6.351,1.114,0.249,-0.212,0.237,0.095,0.016,success,
2026-01-13T19:16:29.984371,xgboost,us26,distribution,no,20,sumOfSlots,169.033,30.084,6.727,-0.057,0.277,0.054,0.009,success,
2026-01-13T19:16:29.984403,xgboost,us26,distribution,no,20,avgActiveTransceivers,3.224,0.46,0.103,0.601,0.192,0.016,0.002,success,
2026-01-13T19:16:54.605368,xgboost,us26,traffic,yes,20,highestSlot,19.929,1.952,0.436,-0.085,0.291,0.135,0.013,success,
2026-01-13T19:16:54.605441,xgboost,us26,traffic,yes,20,avgHighestSlot,4.103,0.635,0.142,0.556,0.085,0.062,0.009,success,
2026-01-13T19:16:54.605475,xgboost,us26,traffic,yes,20,sumOfSlots,90.413,12.969,2.9,0.714,0.094,0.029,0.004,success,
2026-01-13T19:16:54.605543,xgboost,us26,traffic,yes,20,avgActiveTransceivers,4.309,0.708,0.158,0.298,0.158,0.021,0.003,success,
2026-01-13T19:17:10.265233,xgboost,us26,traffic,no,20,highestSlot,21.596,3.053,0.683,-0.383,0.416,0.146,0.02,success,
2026-01-13T19:17:10.265307,xgboost,us26,traffic,no,20,avgHighestSlot,6.033,0.888,0.199,-0.057,0.146,0.091,0.013,success,
2026-01-13T19:17:10.265342,xgboost,us26,traffic,no,20,sumOfSlots,179.116,22.879,5.116,-0.156,0.234,0.057,0.007,success,
2026-01-13T19:17:10.265374,xgboost,us26,traffic,no,20,avgActiveTransceivers,4.101,0.756,0.169,0.337,0.249,0.02,0.004,success,
2026-01-13T19:17:37.449933,xgboost,us26,all,yes,20,highestSlot,19.47,2.134,0.477,-0.075,0.296,0.132,0.014,success,
2026-01-13T19:17:37.450009,xgboost,us26,all,yes,20,avgHighestSlot,4.313,0.644,0.144,0.515,0.101,0.065,0.01,success,
2026-01-13T19:17:37.450044,xgboost,us26,all,yes,20,sumOfSlots,65.739,11.375,2.543,0.839,0.052,0.021,0.004,success,
2026-01-13T19:17:37.450076,xgboost,us26,all,yes,20,avgActiveTransceivers,2.712,0.344,0.077,0.73,0.093,0.014,0.002,success,
2026-01-13T19:17:58.515355,xgboost,us26,all,no,20,highestSlot,21.087,3.154,0.705,-0.386,0.581,0.142,0.021,success,
2026-01-13T19:17:58.515427,xgboost,us26,all,no,20,avgHighestSlot,5.932,1.032,0.231,-0.028,0.187,0.089,0.015,success,
2026-01-13T19:17:58.515462,xgboost,us26,all,no,20,sumOfSlots,164.42,24.553,5.49,-0.02,0.172,0.052,0.008,success,
2026-01-13T19:17:58.515530,xgboost,us26,all,no,20,avgActiveTransceivers,2.648,0.398,0.089,0.737,0.114,0.013,0.002,success,
2026-01-13T19:18:29.575290,xgboost,both,basic,yes,20,highestSlot,14.338,2.337,0.522,0.651,0.096,0.11,0.013,success,
2026-01-13T19:18:29.575329,xgboost,both,basic,yes,20,avgHighestSlot,3.578,0.447,0.1,0.532,0.116,0.054,0.007,success,
2026-01-13T19:18:29.575341,xgboost,both,basic,yes,20,sumOfSlots,82.638,10.509,2.35,0.893,0.027,0.024,0.003,success,
2026-01-13T19:18:29.575352,xgboost,both,basic,yes,20,avgActiveTransceivers,3.196,0.308,0.069,0.594,0.102,0.016,0.002,success,
2026-01-13T19:18:43.036128,xgboost,both,basic,no,20,highestSlot,31.951,2.887,0.646,-0.417,0.183,0.257,0.02,success,
2026-01-13T19:18:43.036219,xgboost,both,basic,no,20,avgHighestSlot,5.673,0.663,0.148,-0.255,0.196,0.086,0.01,success,
2026-01-13T19:18:43.036254,xgboost,both,basic,no,20,sumOfSlots,326.717,34.546,7.725,-0.42,0.292,0.096,0.01,success,
2026-01-13T19:18:43.036285,xgboost,both,basic,no,20,avgActiveTransceivers,3.268,0.336,0.075,0.566,0.133,0.016,0.002,success,
2026-01-13T19:19:19.760191,xgboost,both,topology,yes,20,highestSlot,14.347,2.301,0.515,0.653,0.09,0.11,0.013,success,
2026-01-13T19:19:19.760267,xgboost,both,topology,yes,20,avgHighestSlot,3.92,0.323,0.072,0.445,0.107,0.059,0.005,success,
2026-01-13T19:19:19.760302,xgboost,both,topology,yes,20,sumOfSlots,114.832,14.373,3.214,0.8,0.036,0.033,0.004,success,
2026-01-13T19:19:19.760333,xgboost,both,topology,yes,20,avgActiveTransceivers,5.376,0.627,0.14,-0.201,0.18,0.027,0.003,success,
2026-01-13T19:19:39.188634,xgboost,both,topology,no,20,highestSlot,17.36,2.717,0.608,0.495,0.143,0.134,0.014,success,
2026-01-13T19:19:39.188717,xgboost,both,topology,no,20,avgHighestSlot,5.54,0.502,0.112,-0.245,0.257,0.083,0.007,success,
2026-01-13T19:19:39.188764,xgboost,both,topology,no,20,sumOfSlots,212.984,17.383,3.887,0.311,0.13,0.063,0.005,success,
2026-01-13T19:19:39.188811,xgboost,both,topology,no,20,avgActiveTransceivers,5.797,0.651,0.146,-0.332,0.319,0.029,0.003,success,
2026-01-13T19:20:21.385274,xgboost,both,distribution,yes,20,highestSlot,14.032,2.269,0.507,0.665,0.082,0.107,0.013,success,
2026-01-13T19:20:21.385351,xgboost,both,distribution,yes,20,avgHighestSlot,3.489,0.424,0.095,0.55,0.098,0.053,0.007,success,
2026-01-13T19:20:21.385386,xgboost,both,distribution,yes,20,sumOfSlots,83.12,10.576,2.365,0.894,0.023,0.024,0.003,success,
2026-01-13T19:20:21.385417,xgboost,both,distribution,yes,20,avgActiveTransceivers,3.036,0.28,0.063,0.624,0.093,0.015,0.001,success,
2026-01-13T19:20:44.690742,xgboost,both,distribution,no,20,highestSlot,32.763,2.812,0.629,-0.56,0.156,0.261,0.019,success,
2026-01-13T19:20:44.690798,xgboost,both,distribution,no,20,avgHighestSlot,5.47,0.603,0.135,-0.133,0.158,0.083,0.009,success,
2026-01-13T19:20:44.690826,xgboost,both,distribution,no,20,sumOfSlots,311.266,34.51,7.717,-0.247,0.219,0.092,0.01,success,
2026-01-13T19:20:44.690851,xgboost,both,distribution,no,20,avgActiveTransceivers,3.127,0.273,0.061,0.614,0.104,0.016,0.001,success,
2026-01-13T19:21:17.081126,xgboost,both,traffic,yes,20,highestSlot,14.395,2.182,0.488,0.658,0.09,0.111,0.013,success,
2026-01-13T19:21:17.081200,xgboost,both,traffic,yes,20,avgHighestSlot,3.652,0.397,0.089,0.521,0.1,0.055,0.006,success,
2026-01-13T19:21:17.081234,xgboost,both,traffic,yes,20,sumOfSlots,108.83,8.493,1.899,0.824,0.032,0.032,0.002,success,
2026-01-13T19:21:17.081265,xgboost,both,traffic,yes,20,avgActiveTransceivers,3.841,0.39,0.087,0.394,0.101,0.019,0.002,success,
