timestamp,model,graph,features,graph_features,runs,target,mae_mean,mae_std,mae_stderr,r2_mean,r2_std,status,error
2026-01-12T12:09:11.396765,xgboost,us26,topology,yes,20,highestSlot,19.944,2.696,0.603,-0.075,0.355,success,
2026-01-12T12:09:11.396853,xgboost,us26,topology,yes,20,avgHighestSlot,4.397,0.579,0.13,0.487,0.096,success,
2026-01-12T12:09:11.396895,xgboost,us26,topology,yes,20,sumOfSlots,100.405,14.769,3.302,0.595,0.184,success,
2026-01-12T12:09:11.396934,xgboost,us26,topology,yes,20,avgActiveTransceivers,5.488,0.744,0.166,-0.23,0.201,success,
2026-01-12T12:09:27.278275,xgboost,us26,topology,no,20,highestSlot,22.978,3.369,0.753,-0.413,0.421,success,
2026-01-12T12:09:27.278342,xgboost,us26,topology,no,20,avgHighestSlot,6.104,1.116,0.25,-0.175,0.312,success,
2026-01-12T12:09:27.278410,xgboost,us26,topology,no,20,sumOfSlots,163.563,16.476,3.684,-0.011,0.201,success,
2026-01-12T12:09:27.278439,xgboost,us26,topology,no,20,avgActiveTransceivers,6.319,0.645,0.144,-0.51,0.294,success,
2026-01-12T12:10:06.640875,xgboost,us26,distribution,yes,20,highestSlot,19.61,2.158,0.483,-0.114,0.325,success,
2026-01-12T12:10:06.640942,xgboost,us26,distribution,yes,20,avgHighestSlot,4.429,0.693,0.155,0.505,0.086,success,
2026-01-12T12:10:06.640972,xgboost,us26,distribution,yes,20,sumOfSlots,66.741,12.527,2.801,0.84,0.055,success,
2026-01-12T12:10:06.641000,xgboost,us26,distribution,yes,20,avgActiveTransceivers,3.162,0.447,0.1,0.624,0.157,success,
2026-01-12T12:10:25.822081,xgboost,us26,distribution,no,20,highestSlot,23.293,3.811,0.852,-0.608,0.622,success,
2026-01-12T12:10:25.822150,xgboost,us26,distribution,no,20,avgHighestSlot,6.351,1.114,0.249,-0.212,0.237,success,
2026-01-12T12:10:25.822180,xgboost,us26,distribution,no,20,sumOfSlots,169.033,30.084,6.727,-0.057,0.277,success,
2026-01-12T12:10:25.822212,xgboost,us26,distribution,no,20,avgActiveTransceivers,3.224,0.46,0.103,0.601,0.192,success,
2026-01-12T12:10:46.479510,xgboost,us26,traffic,yes,20,highestSlot,19.929,1.952,0.436,-0.085,0.291,success,
2026-01-12T12:10:46.479596,xgboost,us26,traffic,yes,20,avgHighestSlot,4.103,0.635,0.142,0.556,0.085,success,
2026-01-12T12:10:46.479626,xgboost,us26,traffic,yes,20,sumOfSlots,90.413,12.969,2.9,0.714,0.094,success,
2026-01-12T12:10:46.479653,xgboost,us26,traffic,yes,20,avgActiveTransceivers,4.309,0.708,0.158,0.298,0.158,success,
2026-01-12T12:11:00.829971,xgboost,us26,traffic,no,20,highestSlot,21.596,3.053,0.683,-0.383,0.416,success,
2026-01-12T12:11:00.830052,xgboost,us26,traffic,no,20,avgHighestSlot,6.033,0.888,0.199,-0.057,0.146,success,
2026-01-12T12:11:00.830092,xgboost,us26,traffic,no,20,sumOfSlots,179.116,22.879,5.116,-0.156,0.234,success,
2026-01-12T12:11:00.830131,xgboost,us26,traffic,no,20,avgActiveTransceivers,4.101,0.756,0.169,0.337,0.249,success,
2026-01-12T12:11:27.389652,xgboost,us26,all,yes,20,highestSlot,19.47,2.134,0.477,-0.075,0.296,success,
2026-01-12T12:11:27.389731,xgboost,us26,all,yes,20,avgHighestSlot,4.313,0.644,0.144,0.515,0.101,success,
2026-01-12T12:11:27.389766,xgboost,us26,all,yes,20,sumOfSlots,65.739,11.375,2.543,0.839,0.052,success,
2026-01-12T12:11:27.389798,xgboost,us26,all,yes,20,avgActiveTransceivers,2.712,0.344,0.077,0.73,0.093,success,
2026-01-12T12:11:47.931630,xgboost,us26,all,no,20,highestSlot,21.087,3.154,0.705,-0.386,0.581,success,
2026-01-12T12:11:47.931698,xgboost,us26,all,no,20,avgHighestSlot,5.932,1.032,0.231,-0.028,0.187,success,
2026-01-12T12:11:47.931728,xgboost,us26,all,no,20,sumOfSlots,164.42,24.553,5.49,-0.02,0.172,success,
2026-01-12T12:11:47.931755,xgboost,us26,all,no,20,avgActiveTransceivers,2.648,0.398,0.089,0.737,0.114,success,
2026-01-12T12:12:23.820421,xgboost,both,basic,yes,20,highestSlot,14.338,2.337,0.522,0.651,0.096,success,
2026-01-12T12:12:23.820492,xgboost,both,basic,yes,20,avgHighestSlot,3.578,0.447,0.1,0.532,0.116,success,
2026-01-12T12:12:23.820521,xgboost,both,basic,yes,20,sumOfSlots,82.638,10.509,2.35,0.893,0.027,success,
2026-01-12T12:12:23.820549,xgboost,both,basic,yes,20,avgActiveTransceivers,3.196,0.308,0.069,0.594,0.102,success,
2026-01-12T12:12:40.795028,xgboost,both,basic,no,20,highestSlot,31.951,2.887,0.646,-0.417,0.183,success,
2026-01-12T12:12:40.795116,xgboost,both,basic,no,20,avgHighestSlot,5.673,0.663,0.148,-0.255,0.196,success,
2026-01-12T12:12:40.795155,xgboost,both,basic,no,20,sumOfSlots,326.717,34.546,7.725,-0.42,0.292,success,
2026-01-12T12:12:40.795193,xgboost,both,basic,no,20,avgActiveTransceivers,3.268,0.336,0.075,0.566,0.133,success,
2026-01-12T12:13:09.600820,xgboost,both,topology,yes,20,highestSlot,14.347,2.301,0.515,0.653,0.09,success,
2026-01-12T12:13:09.600923,xgboost,both,topology,yes,20,avgHighestSlot,3.92,0.323,0.072,0.445,0.107,success,
2026-01-12T12:13:09.600960,xgboost,both,topology,yes,20,sumOfSlots,114.832,14.373,3.214,0.8,0.036,success,
2026-01-12T12:13:09.600994,xgboost,both,topology,yes,20,avgActiveTransceivers,5.376,0.627,0.14,-0.201,0.18,success,
2026-01-12T12:13:24.362742,xgboost,both,topology,no,20,highestSlot,17.36,2.717,0.608,0.495,0.143,success,
2026-01-12T12:13:24.362812,xgboost,both,topology,no,20,avgHighestSlot,5.54,0.502,0.112,-0.245,0.257,success,
2026-01-12T12:13:24.362823,xgboost,both,topology,no,20,sumOfSlots,212.984,17.383,3.887,0.311,0.13,success,
2026-01-12T12:13:24.362833,xgboost,both,topology,no,20,avgActiveTransceivers,5.797,0.651,0.146,-0.332,0.319,success,
2026-01-12T12:13:53.646608,xgboost,both,distribution,yes,20,highestSlot,14.032,2.269,0.507,0.665,0.082,success,
2026-01-12T12:13:53.646694,xgboost,both,distribution,yes,20,avgHighestSlot,3.489,0.424,0.095,0.55,0.098,success,
2026-01-12T12:13:53.646739,xgboost,both,distribution,yes,20,sumOfSlots,83.12,10.576,2.365,0.894,0.023,success,
2026-01-12T12:13:53.646779,xgboost,both,distribution,yes,20,avgActiveTransceivers,3.036,0.28,0.063,0.624,0.093,success,
2026-01-12T12:14:11.051181,xgboost,both,distribution,no,20,highestSlot,32.763,2.812,0.629,-0.56,0.156,success,
2026-01-12T12:14:11.051247,xgboost,both,distribution,no,20,avgHighestSlot,5.47,0.603,0.135,-0.133,0.158,success,
2026-01-12T12:14:11.051281,xgboost,both,distribution,no,20,sumOfSlots,311.266,34.51,7.717,-0.247,0.219,success,
2026-01-12T12:14:11.051308,xgboost,both,distribution,no,20,avgActiveTransceivers,3.127,0.273,0.061,0.614,0.104,success,
2026-01-12T12:14:40.461623,xgboost,both,traffic,yes,20,highestSlot,14.395,2.182,0.488,0.658,0.09,success,
2026-01-12T12:14:40.461692,xgboost,both,traffic,yes,20,avgHighestSlot,3.652,0.397,0.089,0.521,0.1,success,
2026-01-12T12:14:40.461722,xgboost,both,traffic,yes,20,sumOfSlots,108.83,8.493,1.899,0.824,0.032,success,
2026-01-12T12:14:40.461749,xgboost,both,traffic,yes,20,avgActiveTransceivers,3.841,0.39,0.087,0.394,0.101,success,
2026-01-12T12:14:58.040688,xgboost,both,traffic,no,20,highestSlot,20.042,2.687,0.601,0.378,0.13,success,
2026-01-12T12:14:58.040756,xgboost,both,traffic,no,20,avgHighestSlot,4.983,0.501,0.112,0.046,0.13,success,
2026-01-12T12:14:58.040787,xgboost,both,traffic,no,20,sumOfSlots,228.652,19.41,4.34,0.259,0.133,success,
2026-01-12T12:14:58.040814,xgboost,both,traffic,no,20,avgActiveTransceivers,3.653,0.442,0.099,0.45,0.135,success,
2026-01-12T12:15:38.212912,xgboost,both,all,yes,20,highestSlot,14.199,2.363,0.528,0.666,0.092,success,
2026-01-12T12:15:38.212977,xgboost,both,all,yes,20,avgHighestSlot,3.463,0.426,0.095,0.563,0.091,success,
2026-01-12T12:15:38.213011,xgboost,both,all,yes,20,sumOfSlots,82.174,10.139,2.267,0.894,0.026,success,
2026-01-12T12:15:38.213044,xgboost,both,all,yes,20,avgActiveTransceivers,2.654,0.303,0.068,0.71,0.086,success,
2026-01-12T12:16:07.036490,xgboost,both,all,no,20,highestSlot,17.216,2.696,0.603,0.477,0.143,success,
2026-01-12T12:16:07.036563,xgboost,both,all,no,20,avgHighestSlot,4.954,0.551,0.123,0.08,0.114,success,
2026-01-12T12:16:07.036594,xgboost,both,all,no,20,sumOfSlots,187.75,23.396,5.231,0.49,0.11,success,
2026-01-12T12:16:07.036622,xgboost,both,all,no,20,avgActiveTransceivers,2.672,0.247,0.055,0.707,0.081,success,
2026-01-12T12:16:12.366262,lightgbm,euro28,basic,yes,20,highestSlot,8.545,0.907,0.203,0.013,0.217,success,
2026-01-12T12:16:12.366296,lightgbm,euro28,basic,yes,20,avgHighestSlot,3.731,0.528,0.118,0.359,0.192,success,
2026-01-12T12:16:12.366307,lightgbm,euro28,basic,yes,20,sumOfSlots,112.069,21.267,4.755,0.604,0.147,success,
2026-01-12T12:16:12.366317,lightgbm,euro28,basic,yes,20,avgActiveTransceivers,3.676,0.506,0.113,0.374,0.302,success,
2026-01-12T12:16:15.652551,lightgbm,euro28,basic,no,20,highestSlot,9.299,1.395,0.312,-0.15,0.288,success,
2026-01-12T12:16:15.652586,lightgbm,euro28,basic,no,20,avgHighestSlot,4.716,0.686,0.153,-0.124,0.29,success,
