iter	MultiRMSE
350	22.93392426
351	22.82003426
352	22.66661021
353	22.52840253
354	22.36211817
355	22.23996133
356	22.09815861
357	21.87716737
358	21.71179194
359	21.5132042
360	21.33194733
361	21.1885718
362	21.03252808
363	20.89498031
364	20.7399873
365	20.60183115
366	20.46992726
367	20.36097359
368	20.21516229
369	20.11411569
370	19.91954797
371	19.83806525
372	19.70340219
373	19.57432012
374	19.43290237
375	19.30810105
376	19.17556355
377	19.08809547
378	18.96892326
379	18.84757918
380	18.71631077
381	18.61856554
382	18.51223636
383	18.37446415
384	18.2880023
385	18.16860162
386	18.05022296
387	17.91509081
388	17.73930157
389	17.64294111
390	17.55602798
391	17.42597273
392	17.28213455
393	17.12994861
394	16.99521848
395	16.86496487
396	16.73220657
397	16.59162604
398	16.46174795
399	16.344174
